Index       TIME              V(A)             V(OUT)           V(XFO4:B)         V(XFO4:C)         V(XFO4:D)         V(XFO4:E)    
111      7.24006719e-10    0.00000000e+00    2.29862123e-04    1.64653979e+00    5.90945688e-01    5.66711817e-02    1.80530937e+00
112      7.35754721e-10    0.00000000e+00    3.52511500e-04    1.67413129e+00    4.11510184e-01    1.48198384e-01    1.81131241e+00
113      7.46327924e-10    0.00000000e+00    4.22130106e-04    1.69325389e+00    2.71720696e-01    2.67051953e-01    1.81838905e+00
114      7.55843806e-10    0.00000000e+00    4.88638952e-04    1.70782883e+00    1.76805261e-01    3.97748070e-01    1.82589641e+00
115      7.65359689e-10    0.00000000e+00    5.31713871e-04    1.72100280e+00    1.11683170e-01    5.41287044e-01    1.83429412e+00
116      7.74875571e-10    0.00000000e+00    4.21187289e-04    1.73294412e+00    6.99180410e-02    6.88673974e-01    1.84190143e+00
117      7.84391453e-10    0.00000000e+00   -6.83046707e-04    1.74359599e+00    4.43223913e-02    8.32877129e-01    1.83808797e+00
118      7.93907335e-10    0.00000000e+00   -3.16939906e-03    1.75290030e+00    2.90816583e-02    9.70447494e-01    1.80371622e+00
119      8.02471630e-10    0.00000000e+00   -6.00811962e-03    1.76016240e+00    2.11259413e-02    1.09123561e+00    1.73582220e+00
120      8.11035924e-10    0.00000000e+00   -1.05283611e-02    1.76646293e+00    1.71963063e-02    1.21562985e+00    1.62365940e+00
121      8.18743788e-10    0.00000000e+00   -1.46318242e-02    1.77138952e+00    1.61177222e-02    1.31573627e+00    1.49257577e+00
122      8.26451653e-10    0.00000000e+00   -2.13561520e-02    1.77566064e+00    1.64187024e-02    1.40207394e+00    1.34303262e+00
123      8.34159518e-10    0.00000000e+00   -2.84540422e-02    1.77931053e+00    1.67992210e-02    1.47356965e+00    1.18570733e+00
124      8.41867382e-10    0.00000000e+00   -2.66440327e-02    1.78239337e+00    1.67143601e-02    1.53292317e+00    1.02550532e+00
125      8.49575247e-10    0.00000000e+00    1.36003014e-02    1.78498486e+00    1.58879022e-02    1.58042328e+00    8.66218661e-01
126      8.50365767e-10    0.00000000e+00    2.13424156e-02    1.78522329e+00    1.57863980e-02    1.58485627e+00    8.50098945e-01
127      8.51946807e-10    0.00000000e+00    4.09705631e-02    1.78569226e+00    1.55454105e-02    1.59328618e+00    8.18103628e-01
128      8.53527847e-10    0.00000000e+00    7.13623491e-02    1.78614487e+00    1.52822739e-02    1.60131213e+00    7.86645207e-01
129      8.55108887e-10    0.00000000e+00    1.19394058e-01    1.78658185e+00    1.50026563e-02    1.60898431e+00    7.55089070e-01
130      8.56689927e-10    0.00000000e+00    1.89353324e-01    1.78700319e+00    1.46954275e-02    1.61621666e+00    7.23123376e-01
131      8.58270967e-10    0.00000000e+00    2.76504671e-01    1.78741031e+00    1.43791903e-02    1.62313905e+00    6.91440415e-01
132      8.59852007e-10    0.00000000e+00    3.76894354e-01    1.78780350e+00    1.40492299e-02    1.62972052e+00    6.60178574e-01
133      8.61433047e-10    0.00000000e+00    4.88523445e-01    1.78818348e+00    1.37119045e-02    1.63600422e+00    6.29411557e-01
134      8.63014087e-10    0.00000000e+00    6.09683935e-01    1.78855042e+00    1.33612399e-02    1.64195247e+00    5.99072933e-01
135      8.64595127e-10    0.00000000e+00    7.38796872e-01    1.78890479e+00    1.29996602e-02    1.64757803e+00    5.69152806e-01
136      8.66176167e-10    0.00000000e+00    8.74277933e-01    1.78924673e+00    1.26210360e-02    1.65284075e+00    5.39552570e-01
137      8.69338247e-10    0.00000000e+00    1.15503450e+00    1.78989503e+00    1.18136707e-02    1.66225415e+00    4.81251081e-01
138      8.72500327e-10    0.00000000e+00    1.41394446e+00    1.79049875e+00    1.09493768e-02    1.67023189e+00    4.25163555e-01
139      8.72898140e-10    0.00000000e+00    1.44014152e+00    1.79057200e+00    1.08484466e-02    1.67120042e+00    4.18738384e-01
140      8.73295954e-10    0.00000000e+00    1.46444706e+00    1.79064516e+00    1.07511243e-02    1.67218475e+00    4.12574891e-01
